c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
bboxContainsBBox,(C-internal: bbox.c),bbox__bboxOverlapsContainsBBox.go,bboxContainsBBox,"func bboxContainsBBox(a, b *BBox) bool",false,kind: func
bboxEquals,(C-internal: bbox.c),bbox__bboxEquals.go,bboxEquals,"func bboxEquals(b1, b2 *BBox) bool",false,kind: func
bboxHeightRads,(C-internal: bbox.c),bbox__bboxWidthHeightRads.go,bboxHeightRads,func bboxHeightRads(b *BBox) float64,false,kind: func
bboxHexEstimate,(C-internal: bbox.c),bbox_bboxHexEstimate.go,bboxHexEstimate,"func bboxHexEstimate(bbox *BBox, res int32, out *int64) H3Error",false,kind: func
bboxIsTransmeridian,(C-internal: bbox.c),bbox__bboxIsTransmeridian.go,bboxIsTransmeridian,func bboxIsTransmeridian(b *BBox) bool,false,kind: func
bboxNormalization,(C-internal: bbox.c),bbox__bboxNormalization.go,bboxNormalization,"func bboxNormalization(a, b *BBox, aNorm, bNorm *LongitudeNormalization)",false,kind: func
bboxOverlapsBBox,(C-internal: bbox.c),bbox__bboxOverlapsContainsBBox.go,bboxOverlapsBBox,"func bboxOverlapsBBox(a, b *BBox) bool",false,kind: func
bboxToCellBoundary,(C-internal: bbox.c),bbox_bboxToCellBoundary.go,bboxToCellBoundary,func bboxToCellBoundary(bbox *BBox) CellBoundary,false,kind: func
bboxWidthRads,(C-internal: bbox.c),bbox__bboxWidthHeightRads.go,bboxWidthRads,func bboxWidthRads(b *BBox) float64,false,kind: func
lineHexEstimate,(C-internal: bbox.c),bbox_lineHexEstimate.go,lineHexEstimate,"func lineHexEstimate(origin *LatLng, destination *LatLng, res int32, out *int64) H3Error",false,kind: func
scaleBBox,(C-internal: bbox.c),bbox__scaleBBox.go,scaleBBox,"func scaleBBox(bbox *BBox, scale float64)",false,kind: func
_downAp3,(C-internal: coordijk.c),coordijk__downAp3.go,_downAp3,func _downAp3(ijk *CoordIJK),false,kind: func
_downAp3r,(C-internal: coordijk.c),coordijk__downAp3r.go,_downAp3r,func _downAp3r(ijk *CoordIJK),false,kind: func
_downAp7,(C-internal: coordijk.c),coordijk__downAp7.go,_downAp7,func _downAp7(ijk *CoordIJK),false,kind: func
_downAp7r,(C-internal: coordijk.c),coordijk__downAp7r.go,_downAp7r,func _downAp7r(ijk *CoordIJK),false,kind: func
_hex2dToCoordIJK,(C-internal: coordijk.c),coordijk__hex2dToCoordIJK.go,_hex2dToCoordIJK,"func _hex2dToCoordIJK(v *Vec2d, h *CoordIJK)",false,kind: func
_ijkAdd,(C-internal: coordijk.c),coordijk__ijkAdd.go,_ijkAdd,"func _ijkAdd(h1, h2, sum *CoordIJK)",false,kind: func
_ijkMatches,(C-internal: coordijk.c),coordijk__ijkMatches.go,_ijkMatches,"func _ijkMatches(c1, c2 *CoordIJK) bool",false,kind: func
_ijkNormalize,(C-internal: coordijk.c),coordijk__ijkNormalize.go,_ijkNormalize,func _ijkNormalize(c *CoordIJK),false,kind: func
_ijkNormalizeCouldOverflow,(C-internal: coordijk.c),coordijk__ijkNormalizeCouldOverflow.go,_ijkNormalizeCouldOverflow,func _ijkNormalizeCouldOverflow(ijk *CoordIJK) bool,false,kind: func
_ijkRotate60ccw,(C-internal: coordijk.c),coordijk__ijkRotate60ccw.go,_ijkRotate60ccw,func _ijkRotate60ccw(ijk *CoordIJK),false,kind: func
_ijkRotate60cw,(C-internal: coordijk.c),coordijk__ijkRotate60cw.go,_ijkRotate60cw,func _ijkRotate60cw(ijk *CoordIJK),false,kind: func
_ijkScale,(C-internal: coordijk.c),coordijk__ijkScale.go,_ijkScale,"func _ijkScale(c *CoordIJK, factor int32)",false,kind: func
_ijkSub,(C-internal: coordijk.c),coordijk__ijkSub.go,_ijkSub,"func _ijkSub(h1, h2, diff *CoordIJK)",false,kind: func
_ijkToHex2d,(C-internal: coordijk.c),coordijk__ijkToHex2d.go,_ijkToHex2d,"func _ijkToHex2d(h *CoordIJK, v *Vec2d)",false,kind: func
_neighbor,(C-internal: coordijk.c),coordijk__neighbor.go,_neighbor,"func _neighbor(ijk *CoordIJK, digit Direction)",false,kind: func
_rotate60ccw,(C-internal: coordijk.c),coordijk__rotate60ccw.go,_rotate60ccw,func _rotate60ccw(digit Direction) Direction,false,kind: func
