file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
h3index__h3RotatePent60cw_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__h3ToFaceIjk.go,ported-impl,h3,"-",1,0,0
h3index__h3ToFaceIjkWithInitializedFijk.go,ported-impl,h3,"-",1,0,0
h3index__h3ToFaceIjkWithInitializedFijk_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__h3ToFaceIjk_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__h3ToString.go,ported-impl,h3,"-",1,0,0
h3index__hasAll7AfterRes.go,ported-impl,h3,"-",1,0,0
h3index__hasAll7AfterRes_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__hasAny7UptoRes.go,ported-impl,h3,"-",1,0,0
h3index__hasAny7UptoRes_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__hasChildAtRes.go,ported-impl,h3,"-",1,0,0
h3index__hasChildAtRes_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__hasDeletedSubsequence.go,ported-impl,h3,"-",1,0,0
h3index__hasDeletedSubsequence_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__hasGoodTopBits.go,ported-impl,h3,"-",1,0,0
h3index__hasGoodTopBits_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__indexDigit.go,ported-impl,h3,"-",2,0,0
h3index__isPentagon.go,ported-impl,h3,"-",1,0,0
h3index__isPentagon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__isResClassIII.go,ported-impl,h3,"-",1,0,0
h3index__isResClassIII_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__isResolutionClassIII.go,ported-impl,h3,"-",1,0,0
h3index__isResolutionClassIII_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__isValidCell.go,ported-impl,h3,"-",1,0,0
h3index__isValidCell_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__isValidCell_test.go,ported-internal-test,h3,"-",0,0,-
h3index__latLngToCell.go,ported-impl,h3,"-",1,0,0
h3index__latLngToCell_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__leadingNonZeroDigit.go,ported-impl,h3,"-",1,0,0
h3index__leadingNonZeroDigit_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__makeDirectChild.go,ported-impl,h3,"-",1,0,0
h3index__makeDirectChild_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__maxFaceCount.go,ported-impl,h3,"-",1,0,0
h3index__maxFaceCount_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__mode_highbit.go,ported-impl,h3,"-",4,0,0
h3index__mode_highbit_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__pentagonCount.go,ported-impl,h3,"-",1,0,0
h3index__pentagonCount_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__reservedBits.go,ported-impl,h3,"-",2,0,0
h3index__setH3Index.go,ported-impl,h3,"-",1,0,0
h3index__setH3Index_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__stringToH3.go,ported-impl,h3,"-",1,0,0
h3index__testH3Api_test.go,ported-internal-test,h3,"-",0,0,-
h3index__uncompactCells.go,ported-impl,h3,"-",1,0,0
h3index__uncompactCellsSize.go,ported-impl,h3,"-",1,0,0
h3index__uncompactCellsSize_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__uncompactCells_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__validateChildPos.go,ported-impl,h3,"-",1,0,0
h3index__zeroIndexDigits.go,ported-impl,h3,"-",1,0,0
h3index__zeroIndexDigits_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
h3index_constants.go,ported-impl,h3,"-",0,0,0
h3index_constructCell.go,ported-impl,h3,"-",1,0,0
h3index_constructCell_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index_getBaseCellNumber.go,ported-impl,h3,"-",1,0,0
h3index_getBaseCellNumber_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index_getIndexDigit.go,ported-impl,h3,"-",1,0,0
h3index_getIndexDigit_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index_isValidIndex.go,ported-impl,h3,"-",1,0,0
h3index_isValidIndex_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index_testPentagonIndexes_test.go,ported-internal-test,h3,"-",0,0,-
h3lib_algos_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_baseCells_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_bbox_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_coordijk_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_directedEdge_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_faceijk_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_h3Index_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_iterators_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_latLng_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_linkedGeo_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_localij_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_polyfill_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_polygon_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_utility_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_vec2d_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_vec3d_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_vertexGraph_cgo.c,parity-c-shim,-,"cgo && c2go",0,0,-
h3lib_vertex_c2go.c,parity-c-shim,-,"cgo && c2go",0,0,-
hierarchy.go,public-api,h3,"-",0,10,0
indexing.go,public-api,h3,"-",0,15,7
iter.go,public-api,h3,"-",0,3,2
iterators__incrementResDigit.go,ported-impl,h3,"-",1,0,0
iterators__incrementResDigit_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
iterators__iterInitParent.go,ported-impl,h3,"-",1,0,0
iterators__iterInitParent_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
iterators__iterStepChild.go,ported-impl,h3,"-",1,0,0
iterators__iterStepChild_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
iterators__null_iter.go,ported-impl,h3,"-",1,0,0
